team,rival
Adams State,Fort Lewis
Adams State,Western Colorado
Air Force Falcons,Colorado State
Air Force Falcons,Hawaii
Akron Zips,Kent State Golden Flashes
Akron Zips,Youngstown State Penguins
Alabama A&M,Alabama State Hornets
Alabama Crimson Tide,Auburn Tigers
Alabama Crimson Tide,Clemson Tigers
Alabama Crimson Tide,Florida Gators
Alabama Crimson Tide,Georgia Bulldogs
Alabama Crimson Tide,Georgia Tech Yellow Jackets
Alabama Crimson Tide,LSU Tigers
Alabama Crimson Tide,Mississippi Rebels
Alabama Crimson Tide,Mississippi State Bulldogs
Alabama Crimson Tide,Penn State Nittany Lions
Alabama Crimson Tide,Tennessee Volunteers
Alabama StateFCS,Tuskegee
Albany,Stony Brook Seawolves
Albany State,Fort Valley State
Alcorn State,Jackson State
Amherst,Williams
Anderson,Manchester
Anna Maria,Castleton
Appalachian State,Georgia Southern Eagles
Appalachian State,Marshall Thundering Herd
Arizona State Sun Devils,Arizona Wildcats
Arizona Wildcats,New Mexico Lobos
Arkansas Razorbacks,LSU Tigers
Arkansas Razorbacks,Mississippi Rebels
Arkansas Razorbacks,Missouri Tigers
Arkansas Razorbacks,Texas A&M Aggies
Arkansas Razorbacks,Texas Longhorns
Arkansas Razorbacks,Texas Tech Red Raiders
Arkansas State Red Wolves,Memphis Tigers
Arkansas–Monticello,Southern Arkansas
Army West Point Black Knights,Navy Midshipmen
Army West Point Black Knights,Notre Dame Fighting Irish
Ashland,Hillsdale
Auburn Tigers,Clemson Tigers
Auburn Tigers,Florida Gators
Auburn Tigers,Georgia Bulldogs
Auburn Tigers,Georgia Tech Yellow Jackets
Auburn Tigers,LSU Tigers
Auburn Tigers,Mississippi Rebels
Auburn Tigers,Tennessee Volunteers
Auburn Tigers,Tulane Green Wave
Augsburg,Hamline
Augustana,Sioux Falls
BYU Cougars,Utah State Aggies
BYU Cougars,Utah Utes
Baldwin Wallace,John Carroll
Ball State Cardinals,Indiana State Sycamores
Ball State Cardinals,Northern Illinois Huskies
Baylor Bears,Houston Cougars
Baylor Bears,TCU Horned Frogs
Baylor Bears,Texas A&M Aggies
Baylor Bears,Texas Longhorns
Baylor Bears,Texas Tech Red Raiders
Bethune–Cookman,Florida A&M Rattlers
Black Hills State,South Dakota Mines
Boise State Broncos,Fresno State Bulldogs
Boise State Broncos,Nevada Wolf Pack
Boston College Eagles,Boston University
Boston College Eagles,Clemson Tigers
Boston College Eagles,Holy Cross Crusaders
Boston College Eagles,Notre Dame Fighting Irish
Boston College Eagles,UMass Minutemen
Boston College Eagles,Virginia Tech Hokies
Bowling Green State Falcons,Kent State Golden Flashes
Bowling Green State Falcons,Toledo Rockets
Bridgewater State,Mass Maritime
Brown,Rhode Island Rams
Buffalo Bulls,UMass Minutemen
Butler,Valparaiso
Cal Poly Mustangs,UC Davis Aggies
California Golden Bears,Indiana Hoosiers
California Golden Bears,Stanford Cardinals
California Golden Bears,UCLA Bruins
California Golden Bears,USC Trojans
California Lutheran,Redlands
Carleton,Macalester
Carleton,St. Olaf
Carnegie Mellon,Case Western Reserve
Case Western Reserve,Wooster
Catawba,Lenoir–Rhyne
Catholic,GeorgetownFCS
Central Arkansas Bears,McNeese State Cowboys
Central Michigan Chippewas,Eastern Michigan Eagles
Central Michigan Chippewas,Western Michigan Broncos
Central Oklahoma,Northeastern State
Central Washington,Western Washington
Centre,Kentucky Wildcats
Chicago,Michigan Wolverines
Chicago,Purdue Boilermakers
Chicago,Washington Huskies
Cincinnati Bearcats,Louisville Cardinals
Cincinnati Bearcats,Memphis Tigers
Cincinnati Bearcats,Miami Hurricanes
Cincinnati Bearcats,UCF Knights
Cincinnati Bearcats,West Virginia Mountaineers
Claremont–Mudd–Scripps,Pomona–Pitzer
Clarion,Slippery Rock
Clemson Tigers,Florida State Seminoles
Clemson Tigers,Georgia Bulldogs
Clemson Tigers,Georgia Tech Yellow Jackets
Clemson Tigers,North Carolina State Wolfpack
Clemson Tigers,South Carolina Gamecocks
Coast Guard,Merchant Marine
Coast Guard,Norwich Cadet
Coastal Carolina Chanticleers,Liberty Flames
Coe,Cornell
Colgate Raiders,Cornell
Colgate Raiders,Syracuse Orange
Colorado Buffaloes,Colorado State
Colorado Buffaloes,Kansas State Wildcats
Colorado Buffaloes,Nebraska Cornhuskers
Colorado Buffaloes,Utah Utes
Colorado Mesa,Colorado Mines
Colorado State,Wyoming Cowboys
Columbia,Cornell
Columbia,Fordham Rams
Concordia,St. Olaf
Cornell,Dartmouth
Cornell,Penn
Dartmouth,Harvard
Dartmouth,New Hampshire Wildcats
DePauw,Wabash
Delaware Blue Hens,Delaware State Hornets
Delaware Valley,Widener
Delta State,Mississippi College
Denison,Wooster
Dickinson,Franklin & Marshall
Dickinson,Gettysburg
Duke Blue Devils,North Carolina Tar Heels
Duke Blue Devils,Wake Forest Demon Deacons
Duquesne Dukes,Pittsburgh Panthers
East Carolina Pirates,Marshall Thundering Herd
East Carolina Pirates,North Carolina State Wolfpack
East Central,Southeastern Oklahoma State
East Texas Baptist,Louisiana ChristianNAIA
Eastern Illinois Panthers,Illinois State Redbirds
Eastern Kentucky Colonels,Morehead State
Eastern Kentucky Colonels,Western Kentucky Hilltoppers
Eastern New Mexico,West Texas A&M
Eastern New Mexico,Western New Mexico
Eastern Washington Eagles,Montana
Eastern Washington Eagles,Portland State Vikings
Emporia State,Washburn
Fairmont State,Glenville State
Ferris State,Grand Valley State
Florida Atlantic Owls,Florida International Panthers
Florida Gators,Florida State Seminoles
Florida Gators,Georgia Bulldogs
Florida Gators,Kentucky Wildcats
Florida Gators,LSU Tigers
Florida Gators,Miami Hurricanes
Florida Gators,Tennessee Volunteers
Florida State Seminoles,Miami Hurricanes
Florida State Seminoles,Virginia Cavaliers
Florida Tech,West Florida
Fordham Rams,Holy Cross Crusaders
Franklin,Hanover
Franklin & Marshall,Gettysburg
Fresno State Bulldogs,Hawaii
Fresno State Bulldogs,San Diego State Aztecs
Fresno State Bulldogs,San Jose State Spartans
Frostburg StateD-II,Salisbury
Furman Paladins,The Citadel Bulldogs
Furman Paladins,Wofford Terriers
Gannon,Mercyhurst
Georgia Bulldogs,Georgia Tech Yellow Jackets
Georgia Bulldogs,South Carolina Gamecocks
Georgia Bulldogs,Tennessee Volunteers
Georgia Bulldogs,Vanderbilt Commodores
Georgia Southern Eagles,Georgia State Panthers
Georgia Tech Yellow Jackets,Tennessee Volunteers
Georgia Tech Yellow Jackets,Vanderbilt Commodores
Georgia Tech Yellow Jackets,Virginia Tech Hokies
Gettysburg,McDaniel
Grambling State,Prairie View A&M
Grambling State,Southern Jaguars
Grand Valley State,Saginaw Valley State
Grand Valley State,Wayne State
Greensboro,Guilford
Grove City,Thiel
Hamilton,Middlebury
Hamline,Macalester
Hampden–Sydney,Randolph–Macon
Hampton,Howard
Hampton,Norfolk State Spartans
Harvard,Penn
Harvard,Princeton
Harvard,Yale
Hawaii,San Jose State Spartans
Hawaii,Wyoming Cowboys
Henderson State,Ouachita Baptist
Hobart,Rochester
Hope College,Kalamazoo College
Houston Cougars,Rice Owls
Houston Cougars,Southern Methodist (SMU) Mustangs
Houston Cougars,Texas Tech Red Raiders
Howard,Morgan State
Idaho State Bengals,Idaho Vandals
Idaho Vandals,Montana
Idaho Vandals,Washington State Cougars
Illinois Fighting Illini,Indiana Hoosiers
Illinois Fighting Illini,Michigan Wolverines
Illinois Fighting Illini,Missouri Tigers
Illinois Fighting Illini,Northwestern Wildcats
Illinois Fighting Illini,Ohio State Buckeyes
Illinois Fighting Illini,Purdue Boilermakers
Indiana Hoosiers,Kentucky Wildcats
Indiana Hoosiers,Michigan State Spartans
Indiana Hoosiers,Purdue Boilermakers
Iowa Hawkeyes,Iowa State Cyclones
Iowa Hawkeyes,Minnesota Golden Gophers
Iowa Hawkeyes,Nebraska Cornhuskers
Iowa Hawkeyes,Wisconsin Badgers
Iowa State Cyclones,Kansas State Wildcats
Iowa State Cyclones,Missouri Tigers
Iowa State Cyclones,Nebraska Cornhuskers
Ithaca,SUNY Cortland
